from,to
0,8
0,38
1,20
2,4
2,20
3,26
3,44
4,7
4,33
4,34
4,46
4,47
4,48
4,91
5,25
6,8
8,9
8,10
8,16
8,19
8,28
8,30
8,32
8,36
8,48
8,54
8,55
8,62
8,65
8,70
8,71
8,77
8,110
8,111
8,112
8,119
8,144
8,148
8,150
8,155
8,156
8,157
8,158
8,161
8,164
8,175
9,107
11,33
12,18
12,20
12,23
12,38
12,47
12,146
13,30
13,37
13,48
13,59
13,85
13,91
13,93
13,95
13,97
13,154
13,179
14,25
14,26
15,26
15,44
16,32
17,20
18,23
18,38
18,42
18,47
18,88
18,92
18,103
18,104
18,114
18,116
18,171
20,31
20,33
20,56
20,66
20,67
20,69
20,74
20,100
20,108
20,118
20,122
21,34
22,26
22,72
22,75
22,76
23,38
23,42
23,88
23,94
23,116
24,25
25,26
25,35
25,44
25,48
25,99
26,27
26,29
26,35
26,44
26,49
26,58
26,62
26,75
26,76
26,82
26,83
26,86
26,99
26,102
26,113
26,117
26,131
26,135
26,139
26,141
26,162
26,169
26,173
26,174
26,176
26,180
27,35
27,44
32,79
32,163
33,40
33,45
33,51
33,120
33,126
33,130
33,151
33,152
34,38
34,48
34,49
34,159
34,165
35,44
35,139
37,40
37,41
37,49
37,121
37,132
37,133
37,137
38,39
38,42
38,47
38,48
38,52
38,89
38,123
38,127
38,129
38,142
38,146
38,147
38,178
39,42
39,47
39,53
39,61
39,87
39,90
39,106
39,124
39,125
39,128
39,134
39,160
39,166
39,167
39,168
40,105
40,137
42,47
42,52
42,60
42,63
42,73
42,96
42,98
42,123
42,146
42,148
42,160
42,170
43,64
43,109
43,181
44,68
44,117
44,139
47,52
47,57
47,62
47,81
47,115
47,138
47,142
47,143
47,145
47,146
47,149
48,49
48,62
48,70
48,157
48,158
48,159
48,177
49,76
49,83
49,136
49,140
49,151
49,153
50,128
74,101
75,76
78,172
80,159
83,159
84,159
117,139
124,160
125,160
127,146
132,154
132,157
142,145
