crime_id,crime_type,crime_date,year,crime_lat,crime_lon
v1,Agresion,1/1/2010,2010,39.46331787,-0.382632524
v10,Agresion,1/1/2010,2010,39.43516922,-0.390684992
v100,Agresion,1/21/2010,2010,39.47927475,-0.374797136
v1000,Agresion,4/14/2010,2010,39.47982407,-0.399208158
v1001,Agresion,4/15/2010,2010,39.4673996,-0.35960114
v1002,Sustraccion,4/15/2010,2010,39.47460938,-0.355242282
v1003,Agresion,4/15/2010,2010,39.47969818,-0.362035722
v1004,Agresion,4/15/2010,2010,39.48321915,-0.376004994
v1005,Agresion,4/15/2010,2010,39.46595764,-0.381567359
v1006,Agresion,4/15/2010,2010,39.48498917,-0.387865156
v1007,Sustraccion,4/15/2010,2010,39.43838882,-0.374431312
v1008,Agresion,4/15/2010,2010,39.47422409,-0.395734996
v1009,Agresion,4/15/2010,2010,39.48493576,-0.387984991
v101,Agresion,1/22/2010,2010,39.4651947,-0.343829989
v1010,Agresion,4/15/2010,2010,39.46326447,-0.355595291
v1011,Agresion,4/15/2010,2010,39.46677017,-0.367629111
v1012,Sustraccion,4/15/2010,2010,39.46193314,-0.366733909
v1013,Agresion,4/15/2010,2010,39.47258759,-0.332993627
v1014,Agresion,4/15/2010,2010,39.47182846,-0.368510991
v1015,Agresion,4/16/2010,2010,39.48685837,-0.379100412
v1016,Agresion,4/16/2010,2010,39.46126175,-0.391140014
v1017,Agresion,4/16/2010,2010,39.45728683,-0.385414988
v1018,Agresion,4/16/2010,2010,39.49907303,-0.381297886
v1019,Agresion,4/16/2010,2010,39.48487473,-0.362433165
v102,Agresion,1/22/2010,2010,39.49372864,-0.366777897
v1020,Agresion,4/16/2010,2010,39.46482468,-0.367433906
v1021,Agresion,4/16/2010,2010,39.47190475,-0.377051026
v1022,Sustraccion,4/16/2010,2010,39.49488449,-0.386785001
v1023,Sustraccion,4/16/2010,2010,39.46080399,-0.364964992
v1024,Agresion,4/16/2010,2010,39.45842361,-0.367826492
v1025,Agresion,4/16/2010,2010,39.50225449,-0.416830003
