season_end_year,player,min_playing,gls_per,ast_per,x_g_per,x_ag_per
2005,Djamel Abdoun,30,0,0,NA,NA
2005,Gaspar Azevedo,1224,0,0,NA,NA
2005,Yacine Bezzaz,140,0,0,NA,NA
2005,Nicolas Bonnal,892,0,0,NA,NA
2005,Marcelinho Carioca,704,0.26,0.13,NA,NA
2005,Cyril Chapuis,1308,0.21,0.14,NA,NA
2005,Xavier Collin,2734,0,0.1,NA,NA
2005,Renaud Connen,896,0,0,NA,NA
2005,Yohan Demont,2658,0.07,0.2,NA,NA
2005,Christophe Destruhaut,74,0,0,NA,NA
2005,Nenad Džodić,2133,0.04,0.04,NA,NA
2005,Marcelo de Faria,1309,0.28,0.07,NA,NA
2005,Olivier Fauconnier,289,0,0,NA,NA
2005,Fabien Laurenti,2799,0,0,NA,NA
2005,Waldir Lucas Pereira,2113,0.47,0,NA,NA
2005,André Luiz Moreira,2241,0.24,0.12,NA,NA
2005,Laurent Merlin,272,0.33,0,NA,NA
2005,Abdelnasser Ouadah,2980,0.12,0.09,NA,NA
2005,Stéphane Porato,3150,0,0,NA,NA
2005,Martial Robin,2501,0.04,0.07,NA,NA
2005,Rodrigo,3212,0,0.03,NA,NA
2005,Mamadou Seck,2124,0.04,0.04,NA,NA
2005,David Terrier,1222,0,0,NA,NA
2005,Stéphane Trévisan,270,0,0,NA,NA
2005,Abderraouf Zarabi,21,0,NA,NA,NA
2005,Mikel Aguirregomezkorta Larrea,1208,0,0,NA,NA
2005,Agus,630,0,0,NA,NA
2005,Carlos Alfaro Martínez,90,0,0,NA,NA
2005,Miquel Buades Crespí,2717,0.07,0,NA,NA
2005,Albert Cano López,118,0,0,NA,NA
2005,Rubén Castro,1169,0.23,0,NA,NA
2005,Iván Díaz Ruiz,292,0,0,NA,NA
2005,Jordi Ferrón,11,0,NA,NA,NA
2005,Francisco,1524,0.18,0.24,NA,NA
2005,Pablo García,75,0,NA,NA,NA
2005,Pablo García,11,0,0,NA,NA
2005,Gaspar,2022,0.04,0,NA,NA
