ds,holiday,country,year
1995-01-01,Ano nuevo,ES,1995
1995-01-06,Epifania del Senor,ES,1995
1995-04-14,Viernes Santo,ES,1995
1995-05-01,Dia del Trabajador,ES,1995
1995-08-15,Asuncion de la Virgen,ES,1995
1995-10-12,Dia de la Hispanidad,ES,1995
1995-11-01,Todos los Santos,ES,1995
1995-12-06,Dia de la constitucion Espanola,ES,1995
1995-12-08,La Inmaculada Concepcion,ES,1995
1995-12-25,Navidad,ES,1995
1996-01-01,Ano nuevo,ES,1996
1996-01-06,Epifania del Senor,ES,1996
1996-04-05,Viernes Santo,ES,1996
1996-05-01,Dia del Trabajador,ES,1996
1996-08-15,Asuncion de la Virgen,ES,1996
1996-10-12,Dia de la Hispanidad,ES,1996
1996-11-01,Todos los Santos,ES,1996
1996-12-06,Dia de la constitucion Espanola,ES,1996
1996-12-08,La Inmaculada Concepcion,ES,1996
1996-12-25,Navidad,ES,1996
1997-01-01,Ano nuevo,ES,1997
1997-01-06,Epifania del Senor,ES,1997
1997-03-28,Viernes Santo,ES,1997
1997-05-01,Dia del Trabajador,ES,1997
1997-08-15,Asuncion de la Virgen,ES,1997
1997-10-12,Dia de la Hispanidad,ES,1997
1997-11-01,Todos los Santos,ES,1997
1997-12-06,Dia de la constitucion Espanola,ES,1997
1997-12-08,La Inmaculada Concepcion,ES,1997
1997-12-25,Navidad,ES,1997
1998-01-01,Ano nuevo,ES,1998
1998-01-06,Epifania del Senor,ES,1998
1998-04-10,Viernes Santo,ES,1998
1998-05-01,Dia del Trabajador,ES,1998
1998-08-15,Asuncion de la Virgen,ES,1998
1998-10-12,Dia de la Hispanidad,ES,1998
1998-11-01,Todos los Santos,ES,1998
1998-12-06,Dia de la constitucion Espanola,ES,1998
1998-12-08,La Inmaculada Concepcion,ES,1998
1998-12-25,Navidad,ES,1998
1999-01-01,Ano nuevo,ES,1999
1999-01-06,Epifania del Senor,ES,1999
1999-04-02,Viernes Santo,ES,1999
1999-05-01,Dia del Trabajador,ES,1999
1999-08-15,Asuncion de la Virgen,ES,1999
1999-10-12,Dia de la Hispanidad,ES,1999
1999-11-01,Todos los Santos,ES,1999
1999-12-06,Dia de la constitucion Espanola,ES,1999
1999-12-08,La Inmaculada Concepcion,ES,1999
1999-12-25,Navidad,ES,1999
2000-01-01,Ano nuevo,ES,2000
2000-01-06,Epifania del Senor,ES,2000
2000-04-21,Viernes Santo,ES,2000
2000-05-01,Dia del Trabajador,ES,2000
2000-08-15,Asuncion de la Virgen,ES,2000
2000-10-12,Dia de la Hispanidad,ES,2000
2000-11-01,Todos los Santos,ES,2000
2000-12-06,Dia de la constitucion Espanola,ES,2000
2000-12-08,La Inmaculada Concepcion,ES,2000
2000-12-25,Navidad,ES,2000
2001-01-01,Ano nuevo,ES,2001
2001-01-06,Epifania del Senor,ES,2001
2001-04-13,Viernes Santo,ES,2001
2001-05-01,Dia del Trabajador,ES,2001
2001-08-15,Asuncion de la Virgen,ES,2001
2001-10-12,Dia de la Hispanidad,ES,2001
2001-11-01,Todos los Santos,ES,2001
2001-12-06,Dia de la constitucion Espanola,ES,2001
2001-12-08,La Inmaculada Concepcion,ES,2001
2001-12-25,Navidad,ES,2001
2002-01-01,Ano nuevo,ES,2002
2002-01-06,Epifania del Senor,ES,2002
2002-03-29,Viernes Santo,ES,2002
2002-05-01,Dia del Trabajador,ES,2002
2002-08-15,Asuncion de la Virgen,ES,2002
2002-10-12,Dia de la Hispanidad,ES,2002
2002-11-01,Todos los Santos,ES,2002
2002-12-06,Dia de la constitucion Espanola,ES,2002
2002-12-08,La Inmaculada Concepcion,ES,2002
2002-12-25,Navidad,ES,2002
2003-01-01,Ano nuevo,ES,2003
2003-01-06,Epifania del Senor,ES,2003
2003-04-18,Viernes Santo,ES,2003
2003-05-01,Dia del Trabajador,ES,2003
2003-08-15,Asuncion de la Virgen,ES,2003
2003-10-12,Dia de la Hispanidad,ES,2003
2003-11-01,Todos los Santos,ES,2003
2003-12-06,Dia de la constitucion Espanola,ES,2003
2003-12-08,La Inmaculada Concepcion,ES,2003
2003-12-25,Navidad,ES,2003
2004-01-01,Ano nuevo,ES,2004
2004-01-06,Epifania del Senor,ES,2004
2004-04-09,Viernes Santo,ES,2004
2004-05-01,Dia del Trabajador,ES,2004
2004-08-15,Asuncion de la Virgen,ES,2004
2004-10-12,Dia de la Hispanidad,ES,2004
2004-11-01,Todos los Santos,ES,2004
2004-12-06,Dia de la constitucion Espanola,ES,2004
2004-12-08,La Inmaculada Concepcion,ES,2004
2004-12-25,Navidad,ES,2004
2005-01-01,Ano nuevo,ES,2005
2005-01-06,Epifania del Senor,ES,2005
2005-03-25,Viernes Santo,ES,2005
2005-05-01,Dia del Trabajador,ES,2005
2005-08-15,Asuncion de la Virgen,ES,2005
2005-10-12,Dia de la Hispanidad,ES,2005
2005-11-01,Todos los Santos,ES,2005
2005-12-06,Dia de la constitucion Espanola,ES,2005
2005-12-08,La Inmaculada Concepcion,ES,2005
2005-12-25,Navidad,ES,2005
2006-01-01,Ano nuevo,ES,2006
2006-01-06,Epifania del Senor,ES,2006
2006-04-14,Viernes Santo,ES,2006
2006-05-01,Dia del Trabajador,ES,2006
2006-08-15,Asuncion de la Virgen,ES,2006
2006-10-12,Dia de la Hispanidad,ES,2006
2006-11-01,Todos los Santos,ES,2006
2006-12-06,Dia de la constitucion Espanola,ES,2006
2006-12-08,La Inmaculada Concepcion,ES,2006
2006-12-25,Navidad,ES,2006
2007-01-01,Ano nuevo,ES,2007
2007-01-06,Epifania del Senor,ES,2007
2007-04-06,Viernes Santo,ES,2007
2007-05-01,Dia del Trabajador,ES,2007
2007-08-15,Asuncion de la Virgen,ES,2007
2007-10-12,Dia de la Hispanidad,ES,2007
2007-11-01,Todos los Santos,ES,2007
