semana,reservas,turismo,covid_mov,notoriedad,temperatura,tv_grps20,tv_inv,resto_off_inv,paidsearch_imp,paidsearch_inv,display_imp,display_inv,onlinevideo_imp,onlinevideo_inv,competidores,eventos
2018-01-01,0,0,0,32,9.886145624,0,0,0,0,0,0,0,0,0,0,
2018-01-08,0,0,0,34,6.369976115,0,0,0,0,0,0,0,0,0,0,
2018-01-15,0,0,0,38,9.333999191,0,0,0,0,0,0,0,0,0,0,
2018-01-22,0,0,0,37,8.837605891,0,0,0,0,0,0,0,0,0,0,
2018-01-29,0,0,0,38,6.940956087,0,0,0,0,0,0,0,0,0,0,
2018-02-05,0,0,0,34,4.916860016,0,0,0,0,0,0,0,0,0,0,
2018-02-12,0,0,0,32,8.911466557,0,0,0,0,0,0,0,0,0,0,
2018-02-19,0,0,0,27,7.416319092,0,0,0,0,0,0,0,0,0,0,
2018-02-26,0,0,0,37,8.66148819,0,0,0,0,0,0,0,0,0,0,
2018-03-05,0,0,0,32,10.59702793,0,0,0,0,0,0,0,0,0,0,
2018-03-12,0,0,0,33,9.783612535,0,0,0,0,0,0,0,0,0,0,
2018-03-19,0,0,0,33,7.65352525,0,0,0,0,0,0,0,0,0,0,
2018-03-26,0,0,0,33,11.09891063,0,0,0,0,0,0,0,0,0,0,
2018-04-02,0,0,0,31,12.50029381,0,0,0,0,0,0,0,0,0,0,
2018-04-09,0,0,0,39,10.09987579,0,0,0,0,0,0,0,0,0,0,
2018-04-16,0,0,0,34,15.31805517,0,0,0,0,0,0,0,0,0,0,
2018-04-23,0,0,0,31,15.40981846,0,0,0,0,0,0,0,0,0,0,
2018-04-30,0,0,0,36,12.70255569,0,0,0,0,0,0,0,0,0,0,
2018-05-07,0,0,0,43,15.34834903,0,0,0,0,0,0,0,0,0,0,
2018-05-14,0,0,0,38,15.52904768,0,0,0,0,0,0,0,0,0,0,
2018-05-21,0,0,0,34,17.28812403,0,0,0,0,0,0,0,0,0,0,
2018-05-28,0,0,0,31,16.89436478,0,0,0,0,0,0,0,0,0,0,
2018-06-04,0,0,0,43,16.78759606,0,0,0,0,0,0,0,0,0,0,
2018-06-11,0,0,0,39,18.93898352,0,0,0,0,0,0,0,0,0,0,
2018-06-18,0,0,0,33,22.6087887,0,0,0,0,0,0,0,0,0,0,
2018-06-25,0,0,0,41,22.2019435,0,0,0,0,0,0,0,0,0,0,
2018-07-02,0,0,0,43,22.1071598,0,0,0,0,0,0,0,0,0,0,
2018-07-09,0,0,0,50,23.22461687,0,0,0,0,0,0,0,0,0,0,
2018-07-16,0,0,0,53,22.39571856,0,0,0,0,0,0,0,0,0,0,
2018-07-23,0,0,0,50,23.68181252,0,0,0,0,0,0,0,0,0,0,
2018-07-30,0,0,0,48,26.05010366,0,0,0,0,0,0,0,0,0,0,
2018-08-06,0,0,0,41,24.22715523,0,0,0,0,0,0,0,0,0,0,
2018-08-13,0,0,0,35,22.82160198,0,0,0,0,0,0,0,0,0,0,
2018-08-20,0,0,0,35,23.53628699,0,0,0,0,0,0,0,0,0,0,
2018-08-27,0,0,0,39,23.70747331,0,0,0,0,0,0,0,0,0,0,
2018-09-03,0,0,0,32,21.30276052,0,0,0,0,0,0,0,0,0,0,
2018-09-10,0,0,0,30,22.09305085,0,0,0,0,0,0,0,0,0,0,
2018-09-17,0,0,0,34,22.65761703,0,0,0,0,0,0,0,0,0,0,
2018-09-24,0,0,0,34,20.83688352,0,0,0,0,0,0,0,0,0,0,
2018-10-01,167907.0764,0,0,29,18.13009697,0,0,5395.735484,14938425.75,29876.8515,2665180,8120.28434,184520,157.60571,65773.23753,
2018-10-08,144708.6658,0,0,26,17.3972299,0,0,5395.735484,9985851.44,19971.70288,2716709,9196.51006,144469,212.13569,45321.85251,
