hero
LITTLE, ABNER
BLACK PANTHER/T'CHAL
STEELE, SIMON/WOLFGA
RAVEN, SABBATH II/EL
IRON MAN IV/JAMES R.
IRON MAN/TONY STARK
ERWIN, CLYTEMNESTRA
PRINCESS ZANDA
CARNIVORE/COUNT ANDR
GHOST
ZIMMER, ABE
FU MANCHU
SHANG-CHI
SMITH, SIR DENIS NAY
STARSHINE II/BRANDY
MAN-THING/THEODORE T
TARR, BLACK JACK
WU, LEIKO
JACKSON, STEVE
RESTON, CLIVE
ROM, SPACEKNIGHT
DOCTOR DREDD
MYSTIQUE/RAVEN DARKH
HYBRID/JAMES JIMMY M
DESTINY II/IRENE ADL
ROGUE /
AVALANCHE/DOMINIC PE
PYRO/ALLERDYCE JOHNN
TORPEDO III/BROCK JO
CLARK, SARAH
CLARK, JOHN
JONES, DANIEL DANNY
JONES, NELL
JONES, LORRAINE LORR
JONES, TAMMY ANNE
KILLBURN, MACK
VASHTI
SUB-MARINER/NAMOR MA
NOVA/RICHARD RIDER
SPIDER-MAN/PETER PAR
NIGHT THRASHER/DUANE
HULK/DR. ROBERT BRUC
SPEEDBALL/ROBBIE BAL
NAMORITA/NITA PRENTI
THUNDERBALL/DR. ELIO
JUSTICE II/VANCE AST
FIRESTAR/ANGELICA JO
TIGRA/GREER NELSON
QUICKSILVER/PIETRO M
SCARLET WITCH/WANDA
LORD CHAOS
HAWK
SILVER SURFER/NORRIN
MOCKINGBIRD/DR. BARB
GALACTUS/GALAN
UATU
CYCLOPS/SCOTT SUMMER
GHOST RIDER III/DAN
BEAST/HENRY &HANK& P
ANDROMEDA/ANDROMEDA
PUNISHER II/FRANK CA
INFINITY II
INVISIBLE WOMAN/SUE
THING/BENJAMIN J. GR
JUBILEE/JUBILATION L
MASTER ORDER
DEATH
ANGEL/WARREN KENNETH
MR. FANTASTIC/REED R
IN-BETWEENER
KISMET/J'RIDIA STARD
ETERNITY/ADAM QADMON
STORM/ORORO MUNROE S
MARVEL GIRL/JEAN GRE
PSYLOCKE/ELISABETH B
VISION
SHE-HULK/JENNIFER WA
WOLVERINE/LOGAN
OBLIVION
DEATHLOK III/MICHAEL
WONDER MAN/SIMON WIL
THUNDERSTRIKE/ERIC K
LIVING LASER/ARTHUR
CABE, BETHANY
SPYMASTER/JAKE JORDA
HOGAN, HAROLD J. HAP
BATROC/GEORGES BATRO
CARTER, SHARON
FORTUNE, DOMINIC
KARNILLA [ASGARDIAN]
NIGHTMARE/EDVARD HAB
LOKI [ASGARDIAN]
ENCHANTRESS/AMORA/HE
ZANIAC/BRAD WOLFE
SONIC
CARPENTER, LARRY
COOPER, DR. VALERIE
CLEMSON, MIKE
GRASP
CARPENTER, RACHEL
SPIDER-WOMAN II/JULI
RED GUARDIAN III/DR.
NORRISS, SISTER BARB
DEVIL-SLAYER/ERIC SI
NIGHTHAWK II/KYLE RI
HELLCAT/PATSY WALKER
DOLLAR BILL
BANNER, BETTY ROSS T
ARMBRUSTER, COLONEL
ROBERTS, TED
MASTERMIND/JASON WYN
COBALT MAN
ROSS, GEN. THADDEUS
GORGON [INHUMAN]
KARNAK [INHUMAN]
TRITON
BLACK BOLT/BLACKANTO
CRYSTAL [INHUMAN]
MAN-BEAST
ANALYZER
WARLOCK II/ADAM WARL
ABOMINATION/EMIL BLO
WILSON, JIM
RHINO
CORBEAU, DR. PETER
PROFESSOR X/CHARLES
MISSING LINK
BRICKFORD, CLAY
STACY, PAUL
STACY, JILL
STACY, ARTHUR
PARKER, MAY
BLADE
KINGPIN/WILSON FISK
LEEDS, BETTY BRANT
MORBIUS/DR. MICHAEL
FORTUNATO, GIACOMO J
GARTH, DONNA
WATSON, ANNA
SPAULDING, PETER
ULTRON
GARVIN, GEARS
JOCASTA
CALDRONE, JAVIER
LUMLEY, JUDY
MAXWELL, MORRIS
THORSON, DR. WALTER
THOMPSON, EUGENE FLA
WATSON-PARKER, MARY
ICEMAN/ROBERT BOBBY
OVERRIDE/DR. GREGORY
KWAN, TERRY
URICH, BEN
DOLMAN
THOR/DR. DONALD BLAK
TOKKOTS
MCCORMICK, BARRY
JAMESON, J. JONAH
FAIRMONT, HANNAH
MANSLAUGHTER
CLOUD
KUBIK
GARGOYLE II/ISAAC CH
STAR THIEF II
MOONDRAGON/HEATHER D
INTERLOPER
SOUTHERN, CANDY
BEYONDER
HUMAN TORCH/JOHNNY S
DRAGON OF THE MOON
DR. OCTOPUS/OTTO OCT
BULLSEYE II/BENJAMIN
WARD, SEN. STEWART
MISTER HYDE/CALVIN Z
COPPERHEAD III/DAVIS
RATTLER
BOOMSLANG/
PUFF ADDER
ANACONDA/BLANCHE SIT
ROCK PYTHON
BLACK RACER/
BLACK MAMBA/TANYA SE
FER DE LANCE/TERESA
BUSHMASTER II/QUINCY
ASP II/CLEO
COBRA/KLAUS VORHEES
MOREAU, DAVID
COLOSSUS II/PETER RA
SUMMERS, MADELYNE MA
LONGSHOT
DAZZLER II/ALLISON B
WIPEOUT
HAVOK/ALEX SUMMERS
MOREAU, PHILLIP
RANSOME, JENNIFER AM
N'ASTIRH
MR. SINISTER/NATHAN
POLARIS/LORNA DANE
SUMMERS, NATHAN CHRI
GATEWAY
TILBY, TRISH/PATRICI
CONOVER, REV. WILLIA
WOLFSBANE/RAHNE SINC
